"Account Name:","FlexDirect Account ****51580"
"Account Balance:","£2123.27"
"Available Balance: ","£2087.57"

"Date","Transaction type","Description","Paid out","Paid in","Balance"
"30 Jun 2018","Interest added","Interest added","","£1.66","£1770.72"
"02 Jul 2018","Visa purchase","RABACAL NATURE SPOT CALHETA PT","£29.47","","£1741.25"
"02 Jul 2018","Contactless Payment","TFL.GOV.UK/CP TFL TRAVEL CH GB","£2.40","","£1738.85"
"02 Jul 2018","Contactless Payment","TESCO STORES 2720 RUSSELL SQUAR GB","£3.70","","£1735.15"
"02 Jul 2018","Contactless Payment","M&S SIMPLY FOOD - SSP GATWICK AIRPO GB","£5.00","","£1730.15"
"02 Jul 2018","Contactless Payment","M&S SIMPLY FOOD - SSP VICTORIA STN GB","£6.00","","£1724.15"
"02 Jul 2018","Visa purchase","MULTIMARCA AEROPORTO MAD SANTA CRUZ PT 25.150000 EUR at 1.12478","£22.36","","£1701.79"
"02 Jul 2018","Non-Sterling transaction fee","Non-Sterling transaction fee","£0.45","","£1701.34"
"03 Jul 2018","Direct debit VIRGIN MOBILE","VIRGIN MOBILE","£38.51","","£1662.83"
"03 Jul 2018","Visa purchase","PAYPAL *BACKUPTRUST 35314369001 GB","£50.00","","£1612.83"
"03 Jul 2018","Contactless Payment","SAINSBURYS S/MKTS SLOANE AVENUE GB","£3.00","","£1609.83"
"03 Jul 2018","Contactless Payment","TESCO STORES 2720 RUSSELL SQUAR GB","£3.73","","£1606.10"
"03 Jul 2018","Contactless Payment","TFL.GOV.UK/CP TFL TRAVEL CH GB","£6.80","","£1599.30"
"04 Jul 2018","Visa purchase Spotify P068F90016","Spotify P068F90016 London GB","£9.99","","£1589.31"
"04 Jul 2018","Visa purchase","SAINSBURYS S/MKTS SLOANE AVENUE GB","£3.00","","£1586.31"
"04 Jul 2018","Contactless Payment","TFL.GOV.UK/CP TFL TRAVEL CH GB","£4.80","","£1581.51"
"05 Jul 2018","Contactless Payment","TESCO STORES 2720 RUSSELL SQUAR GB","£4.80","","£1576.71"
"06 Jul 2018","Contactless Payment","TESCO STORES 2720 RUSSELL SQUAR GB","£2.34","","£1574.37"
"06 Jul 2018","Contactless Payment","TFL.GOV.UK/CP TFL TRAVEL CH GB","£4.80","","£1569.57"
